,raceId,driverId,stop,lap,time,duration,milliseconds,constructors,seconds,points
3008,968,4,2,38,1,22.248,22248,Renault,22.248,1777.0
3009,968,154,2,38,1,22.527,22527,McLaren,22.527,5795.5
3010,968,835,3,41,1,22.588,22588,Red Bull,22.588,5329.5
3011,969,825,1,1,1,31.336,31336,McLaren,31.336,5795.5
3012,969,840,1,5,1,22.293,22293,Ferrari,22.293,8558.5
3013,969,838,1,9,1,39.562,39562,Force India,39.562,1098.0
3014,969,839,1,15,1,22.154,22154,Williams,22.154,3567.0
3015,969,841,1,15,1,28.591,28591,Red Bull,28.591,5329.5
3016,969,4,1,16,1,22.484,22484,Force India,22.484,1098.0
3017,969,807,1,16,1,23.130,23130,Ferrari,23.13,8558.5
3018,969,1,1,17,1,21.709,21709,Force India,21.709,1098.0
3019,969,815,1,17,1,22.045,22045,Renault,22.045,1777.0
3020,969,13,1,20,1,21.568,21568,Renault,21.568,1777.0
3021,969,830,1,25,1,22.208,22208,Red Bull,22.208,5329.5
3022,969,840,2,29,1,22.380,22380,Ferrari,22.38,8558.5
3023,969,807,2,30,1,23.159,23159,Ferrari,23.159,8558.5
3024,969,825,2,44,1,22.189,22189,McLaren,22.189,5795.5
3025,970,807,1,1,1,23.550,23550,Mercedes,23.55,5927.0
3026,970,20,1,2,1,22.906,22906,Force India,22.906,1098.0
3027,970,826,1,2,1,24.016,24016,McLaren,24.016,5795.5
3028,970,13,1,2,1,23.123,23123,Williams,23.123,3567.0
3029,970,815,1,2,1,24.030,24030,Williams,24.03,3567.0
3030,970,828,1,2,1,27.934,27934,Ferrari,27.934,8558.5
3031,970,839,1,2,1,17.673,17673,Williams,17.673,3567.0
3032,970,154,1,2,1,30.654,30654,McLaren,30.654,5795.5
3033,970,841,1,2,1,29.443,29443,Mercedes,29.443,5927.0
3034,970,838,1,2,1,25.146,25146,Force India,25.146,1098.0
3035,970,1,1,4,1,22.999,22999,Force India,22.999,1098.0
3036,970,822,1,4,1,32.287,32287,Renault,32.287,1777.0
3037,970,8,1,4,1,23.847,23847,Renault,23.847,1777.0
3038,970,20,2,4,1,17.354,17354,Force India,17.354,1098.0
3039,970,839,2,4,1,33.491,33491,Williams,33.491,3567.0
3040,970,826,2,4,1,17.320,17320,McLaren,17.32,5795.5
3041,970,13,2,4,1,17.324,17324,Williams,17.324,3567.0
3042,970,815,2,4,1,17.416,17416,Williams,17.416,3567.0
3043,970,835,1,4,1,17.291,17291,Ferrari,17.291,8558.5
3044,970,838,2,4,1,17.325,17325,Force India,17.325,1098.0
3045,970,807,2,4,1,17.336,17336,Mercedes,17.336,5927.0
3046,970,828,2,4,1,17.341,17341,Ferrari,17.341,8558.5
3047,970,154,2,4,1,17.303,17303,McLaren,17.303,5795.5
3048,970,1,2,5,1,17.616,17616,Force India,17.616,1098.0
3049,970,8,2,5,1,17.877,17877,Renault,17.877,1777.0
3050,970,822,2,5,1,17.343,17343,Renault,17.343,1777.0
3051,970,20,3,5,1,17.362,17362,Force India,17.362,1098.0
3052,970,826,3,5,1,17.324,17324,McLaren,17.324,5795.5
3053,970,13,3,5,1,17.321,17321,Williams,17.321,3567.0
3054,970,815,3,5,1,17.312,17312,Williams,17.312,3567.0
3055,970,839,3,5,1,17.356,17356,Williams,17.356,3567.0
3056,970,835,2,5,1,17.291,17291,Ferrari,17.291,8558.5
3057,970,838,3,5,1,17.295,17295,Force India,17.295,1098.0
3058,970,807,3,5,1,17.362,17362,Mercedes,17.362,5927.0
3059,970,828,3,5,1,17.344,17344,Ferrari,17.344,8558.5
3060,970,154,3,5,1,24.114,24114,McLaren,24.114,5795.5
3061,970,1,3,6,1,17.737,17737,Force India,17.737,1098.0
3062,970,8,3,6,1,17.435,17435,Renault,17.435,1777.0
